BUSTED,0.0
BJ,0.04733727810650888
S11,0.0
S12,0.00591715976331361
S13,0.01183431952662722
S14,0.01183431952662722
S15,0.01183431952662722
S16,0.01183431952662722
S17,0.01183431952662722
S18,0.01183431952662722
S19,0.01183431952662722
S20,0.01183431952662722
S21,0.0
H0,0.0
H2,0.0
H3,0.0
H4,0.0
H5,0.01183431952662722
H6,0.01183431952662722
H7,0.02366863905325444
H8,0.02366863905325444
H9,0.035502958579881665
H10,0.035502958579881665
H11,0.04733727810650889
H12,0.08284023668639055
H13,0.08284023668639055
H14,0.07100591715976333
H15,0.07100591715976333
H16,0.059171597633136105
H17,0.059171597633136105
H18,0.04733727810650888
H19,0.04733727810650888
H20,0.0
H21,0.0
P4,0.00591715976331361
P6,0.00591715976331361
P8,0.00591715976331361
P10,0.00591715976331361
P12,0.00591715976331361
P14,0.00591715976331361
P16,0.00591715976331361
P18,0.00591715976331361
P20,0.09467455621301776
